"antragsnummer"|"status"|"jahr"|"tarifsystem"|"antragsberechtigte_partnerorganisation"|"aktueller_atc_code"|"quelle"
"A17-0009"|"Nicht rechenbar"|2017|"swissdrg"|"h+"|"B01AX01"|"ze"
"A17-0013"|"Nicht rechenbar"|2017|"swissdrg"|"h+"|"J02AC05"|"ze"
"A17-0014"|"Abgelehnt"|2017|"swissdrg"|"h+"|"L01AB01"|"ze"
"A17-0102"|"Abgelehnt"|2017|"swissdrg"|"h+"|"C01CX08"|"ze"
"A17-0129"|"Abgelehnt"|2017|"swissdrg"|"h+"|"B02BX04"|"ze"
"A17-0170"|"Abgelehnt"|2017|"swissdrg"|"h+"|"R07AA02"|"ze"
"A17-0206"|"Abgelehnt"|2017|"swissdrg"|"h+"|"B01AC11"|"ze"
"A17-0207"|"Nicht rechenbar"|2017|"swissdrg"|"h+"|"C02KX04"|"ze"
"A17-0208"|"Abgelehnt"|2017|"swissdrg"|"h+"|"M05BX04"|"ze"
"A17-0222"|"Abgelehnt"|2017|"swissdrg"|"h+"|"A07AA12"|"ze"
"A18-0019"|"Nicht rechenbar"|2018|"swissdrg"|"h+"|"B01AE06"|"ze"
"A18-0028"|"Nicht rechenbar"|2018|"swissdrg"|"h+"|"B01AC25"|"ze"
"A18-0181"|"Abgelehnt"|2018|"swissdrg"|"h+"|"C01CX08"|"ze"
"A18-0187"|"Abgelehnt"|2018|"swissdrg"|"h+"|"J01XX08"|"ze"
"A18-0191"|"Nicht rechenbar"|2018|"swissdrg"|"h+"|"J05AP55"|"ze"
"A18-0193"|"Abgelehnt"|2018|"swissdrg"|"h+"|"L01BB04"|"ze"
"A18-0201"|"Nicht rechenbar"|2018|"swissdrg"|"h+"|"L01FX08"|"ze"
"A18-0204"|"Nicht rechenbar"|2018|"swissdrg"|"h+"|"L01FX10"|"ze"
"A18-0207"|"Abgelehnt"|2018|"swissdrg"|"h+"|"L01EB01"|"ze"
"A18-0219"|"Abgelehnt"|2018|"swissdrg"|"h+"|"C01CX08"|"ze"
"A19-0132"|"Abgelehnt"|2019|"swissdrg"|"h+"|"A07AA12"|"ze"
"A19-0154"|"Abgelehnt"|2019|"swissdrg"|"h+"|"L01XX01"|"ze"
"A19-0157"|"Abgelehnt"|2019|"swissdrg"|"h+"|"A07AA12"|"ze"
"A19-0158"|"Nicht rechenbar"|2019|"swissdrg"|"h+"|"L01AC01"|"ze"
"A19-0160"|"Nicht rechenbar"|2019|"swissdrg"|"h+"|"B01AC11"|"ze"
"A19-0161"|"Nicht rechenbar"|2019|"swissdrg"|"h+"|"L01EJ01"|"ze"
"A19-0162"|"Nicht rechenbar"|2019|"swissdrg"|"h+"|"J05AD01"|"ze"
"A19-0164"|"Nicht rechenbar"|2019|"swissdrg"|"h+"|"L04AG08"|"ze"
"A19-0166"|"Nicht rechenbar"|2019|"swissdrg"|"h+"|"L01AD01"|"ze"
"A19-0176"|"Nicht rechenbar"|2019|"swissdrg"|"h+"|"B01AE03"|"ze"
"A19-0180"|"Nicht rechenbar"|2019|"swissdrg"|"h+"|"R03DX10"|"ze"
"A19-0187"|"Abgelehnt"|2019|"swissdrg"|"h+"|"L01BB04"|"ze"
"A20-0138"|"Nicht rechenbar"|2020|"swissdrg"|"h+"|"J05AX18"|"ze"
"A21-0006"|"Abgelehnt"|2021|"swissdrg"|"h+"|"J01DD52"|"ze"
"A21-0024"|"Abgelehnt"|2021|"swissdrg"|"fmh"|"L01XY01"|"ze"
"A21-0072"|"Abgelehnt"|2021|"swissdrg"|"h+"|"B01AE03"|"ze"
"A21-0073"|"Abgelehnt"|2021|"swissdrg"|"h+"|"R03DX10"|"ze"
"A21-0074"|"Abgelehnt"|2021|"swissdrg"|"h+"|"J01DI54"|"ze"
"A21-0076"|"Abgelehnt"|2021|"swissdrg"|"h+"|"L01EA05"|"ze"
"A21-0078"|"Abgelehnt"|2021|"swissdrg"|"h+"|"B02BX05"|"ze"
"A21-0090"|"Abgelehnt"|2021|"swissdrg"|"h+"|"B06AB01"|"ze"
"A21-0091"|"Abgelehnt"|2021|"swissdrg"|"h+"|"L01EB04"|"ze"
"A22-0034"|"Abgelehnt"|2022|"swissdrg"|"h+"|"J01DD52"|"ze"
"A22-0062"|"Abgelehnt"|2022|"swissdrg"|"h+"|"L01XY01"|"ze"
"A22-0063"|"Abgelehnt"|2022|"swissdrg"|"h+"|"L01FX02"|"ze"
"A22-0070"|"Nicht rechenbar"|2022|"swissdrg"|"h+"|"V03AB38"|"ze"
"A22-0074"|"Abgelehnt"|2022|"swissdrg"|"h+"|"R03DX10"|"ze"
"A22-0075"|"Nicht rechenbar"|2022|"swissdrg"|"h+"|"B06AC02"|"ze"
"A22-0077"|"Nicht rechenbar"|2022|"swissdrg"|"h+"|"L01FF03"|"ze"
"A22-0078"|"Abgelehnt"|2022|"swissdrg"|"h+"|"L01FX02"|"ze"
"A22-0079"|"Abgelehnt"|2022|"swissdrg"|"h+"|"L01XG03"|"ze"
"A22-0080"|"Nicht rechenbar"|2022|"swissdrg"|"h+"|"V03AB37"|"ze"
"A22-0081"|"Abgelehnt"|2022|"swissdrg"|"h+"|"C01CX08"|"ze"
"A22-0083"|"Abgelehnt"|2022|"swissdrg"|"h+"|"N05AX13"|"ze"
"A22-0108"|"Abgelehnt"|2022|"swissdrg"|"h+"|"D11AH05"|"ze"
"A22-0109"|"Abgelehnt"|2022|"swissdrg"|"h+"|"J06BC03"|"ze"
"A23-0003"|"Abgelehnt"|2023|"swissdrg"|"h+"|"M05BC01"|"ze"
"A23-0008"|"Abgelehnt"|2023|"swissdrg"|"h+"|"J06BD05"|"ze"
"A23-0071"|"Abgelehnt"|2023|"swissdrg"|"h+"|"L01EX21"|"ze"
"A23-0073"|"Abgelehnt"|2023|"swissdrg"|"h+"|"L01EX22"|"ze"
"A23-0084"|"Abgelehnt"|2023|"swissdrg"|"h+"|"J01DI04"|"ze"
