atc_2025;bis_jahr
A16AX10;2024
A16AX16;2024
B02BX09;2024
L01EB02;2024
L01EB07;2024
L01EX23;2024
L01FX09;2024
L01XH04;2024
L01XJ03;2024
L01XK03;2024
L04AA40;2024
L01EX04;2023
L01XM01;2023
L04AC16;2023
L04AC17;2023
R07AX02;2023
R07AX30;2023
R07AX31;2023
C02KX02;2022
J05AP08;2022
J05AP51;2022
J05AP54;2022
J02AX05;2021
J05AP09;2021
J05AP53;2021
L01BB04;2021
L04AA28;2021
L01EB01;2020
L01XL02;2020
N05AH01;2020
B01AD12;2019
J05AP07;2019
L01BA05;2019
L01FA02;2019
L01FX10;2019
J02AX01;2018
L01EK01;2018
L01ED02;2018
L01XX01;2018
L01XJ01;2018
L04AC01;2018
J05AP05;2017
M05BX04;2017
B01AB09;2016
B01AC13;2016
B01AC16;2016
B01AC17;2016
B01AD11;2016
B01AE03;2016
C01EA01;2016
G04BE03;2016
J05AP02;2016
L01DB06;2016
L01EA01;2016
L01EH01;2016
L04AC03;2016
S01LA04;2016
