"NAME_HN"|"WS_BEW"|"ID_ICD"|"NAME_ICD"|"ATC"|"ID_ICD_GROUPED"|"NAME_ICD_GROUPED"
"Jevtana"|"Cabazitaxel"|"C61"|"Bösartige Neubildung der Prostata"|"L01CD04"|"C61"|"Bösartige Neubildung der Prostata"
"Rapiscan"|"Regadenoson"|"I25.4"|"Koronararterienaneurysma"|"C01EB21"|"I25.4"|"Koronararterienaneurysma"
"Rapiscan"|"Regadenoson"|"I25.19"|"Atherosklerotische Herzkrankheit: Nicht näher bezeichnet"|"C01EB21"|"I25.19"|"Atherosklerotische Herzkrankheit: Nicht näher bezeichnet"
"Rapiscan"|"Regadenoson"|"I25.8"|"Sonstige Formen der chronischen ischämischen Herzkrankheit"|"C01EB21"|"I25.8"|"Sonstige Formen der chronischen ischämischen Herzkrankheit"
"Rapiscan"|"Regadenoson"|"I25.14"|"Atherosklerotische Herzkrankheit: Stenose des linken Hauptstammes"|"C01EB21"|"I25.14"|"Atherosklerotische Herzkrankheit: Stenose des linken Hauptstammes"
"Rapiscan"|"Regadenoson"|"I25.5"|"Ischämische Kardiomyopathie"|"C01EB21"|"I25.5"|"Ischämische Kardiomyopathie"
"Rapiscan"|"Regadenoson"|"I25.21"|"Alter Myokardinfarkt: 4 Monate bis unter 1 Jahr zurückliegend"|"C01EB21"|"I25.21"|"Alter Myokardinfarkt: 4 Monate bis unter 1 Jahr zurückliegend"
"Rapiscan"|"Regadenoson"|"I25.22"|"Alter Myokardinfarkt: 1 Jahr und länger zurückliegend"|"C01EB21"|"I25.22"|"Alter Myokardinfarkt: 1 Jahr und länger zurückliegend"
"Rapiscan"|"Regadenoson"|"I25.11"|"Atherosklerotische Herzkrankheit: Ein-Gefäß-Erkrankung"|"C01EB21"|"I25.11"|"Atherosklerotische Herzkrankheit: Ein-Gefäß-Erkrankung"
"Rapiscan"|"Regadenoson"|"I25.15"|"Atherosklerotische Herzkrankheit: Mit stenosierten Bypass-Gefäßen"|"C01EB21"|"I25.15"|"Atherosklerotische Herzkrankheit: Mit stenosierten Bypass-Gefäßen"
"Rapiscan"|"Regadenoson"|"I25.12"|"Atherosklerotische Herzkrankheit: Zwei-Gefäß-Erkrankung"|"C01EB21"|"I25.12"|"Atherosklerotische Herzkrankheit: Zwei-Gefäß-Erkrankung"
"Rapiscan"|"Regadenoson"|"I25.10"|"Atherosklerotische Herzkrankheit: Ohne hämodynamisch wirksame Stenosen"|"C01EB21"|"I25.10"|"Atherosklerotische Herzkrankheit: Ohne hämodynamisch wirksame Stenosen"
"Rapiscan"|"Regadenoson"|"I25.13"|"Atherosklerotische Herzkrankheit: Drei-Gefäß-Erkrankung"|"C01EB21"|"I25.13"|"Atherosklerotische Herzkrankheit: Drei-Gefäß-Erkrankung"
"Rapiscan"|"Regadenoson"|"I25.6"|"Stumme Myokardischämie"|"C01EB21"|"I25.6"|"Stumme Myokardischämie"
"Rapiscan"|"Regadenoson"|"I25.16"|"Atherosklerotische Herzkrankheit: Mit stenosierten Stents"|"C01EB21"|"I25.16"|"Atherosklerotische Herzkrankheit: Mit stenosierten Stents"
"Rapiscan"|"Regadenoson"|"I25.29"|"Alter Myokardinfarkt: Nicht näher bezeichnet"|"C01EB21"|"I25.29"|"Alter Myokardinfarkt: Nicht näher bezeichnet"
"Rapiscan"|"Regadenoson"|"I25.20"|"Alter Myokardinfarkt: 29 Tage bis unter 4 Monate zurückliegend"|"C01EB21"|"I25.20"|"Alter Myokardinfarkt: 29 Tage bis unter 4 Monate zurückliegend"
"Rapiscan"|"Regadenoson"|"I25.3"|"Herz-(Wand-)Aneurysma"|"C01EB21"|"I25.3"|"Herz-(Wand-)Aneurysma"
"Rapiscan"|"Regadenoson"|"I25.0"|"Atherosklerotische Herz-Kreislauf-Krankheit, so beschrieben"|"C01EB21"|"I25.0"|"Atherosklerotische Herz-Kreislauf-Krankheit, so beschrieben"
"Rapiscan"|"Regadenoson"|"I25.9"|"Chronische ischämische Herzkrankheit, nicht näher bezeichnet"|"C01EB21"|"I25.9"|"Chronische ischämische Herzkrankheit, nicht näher bezeichnet"
"Eliquis"|"Apixaban"|"Z98.8"|"Sonstige näher bezeichnete Zustände nach chirurgischen Eingriffen"|"B01AF02"|"Z98.8"|"Sonstige näher bezeichnete Zustände nach chirurgischen Eingriffen"
"Eliquis"|"Apixaban"|"Z96.65"|"Vorhandensein einer Kniegelenkprothese"|"B01AF02"|"Z96.65"|"Vorhandensein einer Kniegelenkprothese"
"Eliquis"|"Apixaban"|"Z96.64"|"Vorhandensein einer Hüftgelenkprothese"|"B01AF02"|"Z96.64"|"Vorhandensein einer Hüftgelenkprothese"
"Benlysta"|"Belimumab"|"M32.9"|"Systemischer Lupus erythematodes, nicht näher bezeichnet"|"L04AG04"|"M32.9"|"Systemischer Lupus erythematodes, nicht näher bezeichnet"
"Benlysta"|"Belimumab"|"M32.8"|"Sonstige Formen des systemischen Lupus erythematodes"|"L04AG04"|"M32.8"|"Sonstige Formen des systemischen Lupus erythematodes"
"Benlysta"|"Belimumab"|"M32.1"|"Systemischer Lupus erythematodes mit Beteiligung von Organen oder Organsystemen"|"L04AG04"|"M32.1"|"Systemischer Lupus erythematodes mit Beteiligung von Organen oder Organsystemen"
"Fampyra"|"Fampridin"|"G35.31"|"Multiple Sklerose mit sekundär-chronischem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"|"N07XX07"|"G35.31"|"Multiple Sklerose mit sekundär-chronischem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"
"Fampyra"|"Fampridin"|"G35.20"|"Multiple Sklerose mit primär-chronischem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"|"N07XX07"|"G35.20"|"Multiple Sklerose mit primär-chronischem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"
"Fampyra"|"Fampridin"|"G35.11"|"Multiple Sklerose mit vorherrschend schubförmigem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"|"N07XX07"|"G35.11"|"Multiple Sklerose mit vorherrschend schubförmigem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"
"Fampyra"|"Fampridin"|"G35.9"|"Multiple Sklerose, nicht näher bezeichnet"|"N07XX07"|"G35.9"|"Multiple Sklerose, nicht näher bezeichnet"
"Fampyra"|"Fampridin"|"G35.21"|"Multiple Sklerose mit primär-chronischem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"|"N07XX07"|"G35.21"|"Multiple Sklerose mit primär-chronischem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"
"Fampyra"|"Fampridin"|"G35.30"|"Multiple Sklerose mit sekundär-chronischem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"|"N07XX07"|"G35.30"|"Multiple Sklerose mit sekundär-chronischem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"
"Fampyra"|"Fampridin"|"R26.8"|"Sonstige und nicht näher bezeichnete Störungen des Ganges und der Mobilität"|"N07XX07"|"R26.8"|"Sonstige und nicht näher bezeichnete Störungen des Ganges und der Mobilität"
"Fampyra"|"Fampridin"|"R26.2"|"Gehbeschwerden, anderenorts nicht klassifiziert"|"N07XX07"|"R26.2"|"Gehbeschwerden, anderenorts nicht klassifiziert"
"Fampyra"|"Fampridin"|"G35.10"|"Multiple Sklerose mit vorherrschend schubförmigem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"|"N07XX07"|"G35.10"|"Multiple Sklerose mit vorherrschend schubförmigem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"
"Yervoy"|"Ipilimumab"|"C43.5"|"Bösartiges Melanom des Rumpfes"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.1"|"Bösartiges Melanom des Augenlides, einschließlich Kanthus"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.9"|"Bösartiges Melanom der Haut, nicht näher bezeichnet"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.0"|"Bösartiges Melanom der Lippe"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.6"|"Bösartiges Melanom der oberen Extremität, einschließlich Schulter"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.4"|"Bösartiges Melanom der behaarten Kopfhaut und des Halses"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.8"|"Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.3"|"Bösartiges Melanom sonstiger und nicht näher bezeichneter Teile des Gesichtes"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.2"|"Bösartiges Melanom des Ohres und des äußeren Gehörganges"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yervoy"|"Ipilimumab"|"C43.7"|"Bösartiges Melanom der unteren Extremität, einschließlich Hüfte"|"L01FX04"|"C43"|"Bösartiges Melanom der Haut"
"Yellox"|"Bromfenac"|"H59.9"|"Affektion des Auges und der Augenanhangsgebilde nach medizinischen Maßnahmen, nicht näher bezeichnet"|"S01BC11"|"H59.9"|"Affektion des Auges und der Augenanhangsgebilde nach medizinischen Maßnahmen, nicht näher bezeichnet"
"Esbriet"|"Pirfenidon"|"J84.10"|"Sonstige interstitielle Lungenkrankheiten mit Fibrose: Ohne Angabe einer akuten Exazerbation"|"L04AX05"|"J84.10"|"Sonstige interstitielle Lungenkrankheiten mit Fibrose: Ohne Angabe einer akuten Exazerbation"
"Zytiga"|"Abirateronacetat"|"C61"|"Bösartige Neubildung der Prostata"|"L02BX03"|"C61"|"Bösartige Neubildung der Prostata"
