atc_code|tariff|compound_de|compound_fr|addition|constraints_de|constraints_fr|constraints_it|application|unit|since
A05AX04||Maralixibatchlorid|Chlorure de maralixibat|CLM||||O|mcg|2025
A07AA12||Fidaxomicin|Fidaxomicine|||||O|mg|2015
A16AA04||Mercaptamin|Mercaptamine|||||O|mg|2021
A16AA05||Carglumsäure|Acide carglumique|||||O|mg|2022
A16AB07||Alglucosidase alfa|Alglucosidase alfa|||||IV|mg|2025
A16AB15||Velmanase alfa|Velmanase alfa|||||IV|mg|2024
A16AB17||Cerliponase alfa|Cerliponase alfa|||||ICV|mg|2025
A16AB20||Pegunigalsidase alfa|Pégunigalsidase alfa|||||IV|mg|2024
A16AB21||Atidarsagen autotemcel|Atidarsagen autotemcel|||||IV|AN|2025
A16AB22||Avalglucosidase alfa|Avalglucosidase alfa|||||IV|mg|2023
A16AB23||Cipaglucosidase alfa|Cipaglucosidase alfa|||||IV|mg|2024
A16AB25||Olipudase alfa|Olipudase alfa|||||IV|mg|2025
A16AX06||Miglustat|Miglustat|||||O|mg|2024
A16AX12||Trientin dihydrochlorid|Trientine dichlorhydrate|||||O|mg|2021
A16AX18||Lumasiranum|Lumasiran|||||SC|mg|2023
A16AX28||Sepiapterin|Sepiapterin|||||O|mg|2026
B01AB02||Antithrombin III|Antithrombine III|||||IV|U|2010
B01AC09||Epoprostenol|Époprosténol|||||IV|mg|2020
B01AC11||Iloprost|Iloprost|||||Inhal,IV|mcg|2019
B01AC21||Treprostinil|Tréprostinil|||||IV,SC|mg|2016
B01AC25||Cangrelor|Cangrélor|||||IV|mg|2019
B01AC27||Selexipag|Sélexipag|||||O|mcg|2020
B01AD13||Apadamtase alfa und Cinaxadamtase alfa|Apadamtase alfa et Cinaxadamtase alfa|||||IV|U|2026
B01AE03||Argatroban|Argatroban|||||IV|mg|2020
B01AX01||Defibrotid|Défibrotide|||||IV|mg|2017
B01AX07||Caplacizumab|Caplacizumab|||||IV,SC|mg|2021
B02AB02||Alpha-1 Protease-Inhibitor|Inhibiteur de la protéinase alpha-1|||||IV|mg|2023
B02BB01||Fibrinogen, human|Fibrinogène humain|||||IV|g|2010
B02BD01||Blutgerinnungsfaktoren IX, II, VII und X in Kombination|Facteurs IX, II, VII et X de coagulation en association|||||IV|U|2010
B02BD02||Blutgerinnungsfaktor VIII|Facteur VIII de coagulation|Rec,Plas||||IV|U|2010
B02BD03||Faktor-VIII-Inhibitor-bypass-Aktivität|Protéines plasmatiques humaines avec activité FEIBA|||||IV|U|2010
B02BD04||Blutgerinnungsfaktor IX|Facteur IX de coagulation|CAI,CBB||||IV|U|2010
B02BD05||Blutgerinnungsfaktor VII|Facteur VII de coagulation|||||IV|U|2010
B02BD06||Von Willebrand-Faktor und Blutgerinnungsfaktor VIII in Kombination|Facteur von Willebrand et facteur VIII de coagulation en association|||||IV|U|2010
B02BD07||Blutgerinnungsfaktor XIII|Facteur XIII de coagulation|||||IV|U|2010
B02BD08||Blutgerinnungsfaktor VIIa|Facteur VIIa de coagulation|||||IV|mg|2010
B02BD10||Von Willebrand-Faktor|Facteur von Willebrand|||||IV|U|2016
B02BD14||Susoctocog alfa|Susoctocog alfa|||||IV|U|2017
B02BD16||Etranacogene Dezaparvovec|Etranacogene Dezaparvovec|||||IV|AN|2024
B02BX04||Romiplostim|Romiplostim|||||SC|mcg|2012
B02BX05||Eltrombopag|Eltrombopag|||||O|mg|2020
B02BX06||Emicizumab|Emicizumab|||||SC|mg|2020
B02BX10||Concizumab|Concizumab|||||SC|mg|2025
B02BX11||Marstacimab|Marstacimab|||||SC|mg|2025
B06AB01||Hemin|Hémine|||||IV|mg|2020
B06AC01||C1-Inhibitor, aus Plasma gewonnen|Inhibiteur C1, dérivé du plasma|||||IV|U|2013
B06AC02||Icatibant|Icatibant|||||SC|mg|2022
B06AC05||Lanadelumab|Lanadelumab|||||SC|mg|2026
B06AC07||Garadacimab|Garadacimab|||||SC|mg|2026
B06AC08||Sebetralstat|Sébétralstat|||||O|mg|2026
B06AX05||Exagamglogene autotemcel|Exagamglogene autotemcel|||||IV|AN|2024
C01CX08||Levosimendan|Lévosimendan|||||IV|mg|2012
C01EB24|TR|Mavacamten|Mavacamten|||||O|mg|2024
C02KX01||Bosentan|Bosentan|||||O|mg|2010
C02KX04||Macitentan|Macitentan|||||O|mg|2017
C02KX05||Riociguat|Riociguat|||||O|mg|2017
C02KX06||Sotatercept|Sotatercept|||||SC|mg|2026
C09XX01|TR|Sparsentan|Sparsentan|||||O|mg|2026
CH00202||Autologes CD34+-Zellen enkodierendes βA-T87Q-Globin-Gen|Cellules autologues enrichie en cellules CD34+ qui contient des cellules souches hématopoïétiques (CSH) transduites avec un vecteur lentiviral (VLV) codant le gène βA-T87Q-globine|||||IV|AN|2020
CH00203||Autologe CD34+-angereicherte Zellfraktion, die CD34+-Zellen enthält, die mit retroviralem Vektor transduziert wurden, der für die humane ADA-cDNASequenz codiert|Fraction cellulaire autologue enrichie en CD34+ contenant des cellules CD34+ transduites avec un vecteur rétroviral codant la séquence d’ADNc du gène ADA humain|||||IV|AN|2020
CH00301||Tumor infiltrierende Lymphozyten (TIL)|Lymphocytes d’infiltration tumorale (TIL)|||||IV|AN|2024
CH00302||Virus spezifische T-Lymphozyten (VST)|Lymphocytes T spécifiques virales (VST)|||||IV|AN|2024
CH00405||Cevostamab|Cevostamab|||||IV|mg|2026
CH00406||Dordavipron|Dordavipron|||||O|mg|2026
CH00407||Cultured Epidermal Autograft|Cultured Epidermal Autograft|CHUV|nur für topische Anwendung in Verbrennungszentren|Uniquement pour l’application topique dans les centres de traitement des brûlés|Solo per uso topico in centri ustionati|T|cm2|2026
CH00408||Hautdeckung, alloplastisch|Couverture cutanée, alloplastique|HNB|nur für topische Anwendung in Verbrennungszentren|Uniquement pour l’application topique dans les centres de traitement des brûlés|Solo per uso topico in centri ustionati|T|cm2|2026
CH00409||Hautdeckung, allogen, HPS|Couverture cutanée, allogénique, HPS|HPS|nur für topische Anwendung in Verbrennungszentren|Uniquement pour l’application topique dans les centres de traitement des brûlés|Solo per uso topico in centri ustionati|T|cm2|2026
CH00410||Hautdeckung, allogen, HEB|Couverture cutanée, allogénique, HEB|HEB|nur für topische Anwendung in Verbrennungszentren|Uniquement pour l’application topique dans les centres de traitement des brûlés|Solo per uso topico in centri ustionati|T|cm2|2026
CH00411||Hautdeckung, xenogen|Couverture cutanée, xénogénique|HKR|nur für topische Anwendung in Verbrennungszentren|Uniquement pour l’application topique dans les centres de traitement des brûlés|Solo per uso topico in centri ustionati|T|cm2|2026
CH00412||Hautdeckung, autolog|Couverture cutanée, atologue|HDS|nur für topische Anwendung in Verbrennungszentren|Uniquement pour l’application topique dans les centres de traitement des brûlés|Solo per uso topico in centri ustionati|T|cm2|2026
CH19003||Bamlanivimab und Etesevimab|Bamlanivimab et Etesevimab|||||IV|mg|2021
