"ID_BE"|"URL"|"NAME_HN"|"ID_PAT_GR"|"WS_BEW"|"DATUM_BE_VOM"|"NAME_ZVT_BEST"|"ZVT_ZN_A"|"ZVT_ZN_w"|"ATC"
"3"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/10/"|"Jevtana"|"7"|"Cabazitaxel"|"2012-03-29"|"Palliative Behandlung mit Dexamethason, Prednison, Prednisolon oder Methylprednisolon sowie \"Best Supportive Care\" (z.B. adäquate Schmerztherapie)."|"gering"|"Hinweis"|"L01CD04"
"3"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/10/"|"Jevtana"|"8"|"Cabazitaxel"|"2012-03-29"|"Docetaxel in Kombination mit Prednison oder Prednisolon (Docetaxel-Retherapie)."|"gilt als nicht belegt"|NA|"L01CD04"
"5"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/22/"|"Rapiscan"|"12"|"Regadenoson"|"2012-03-29"|"Adenosin"|"gilt als nicht belegt"|NA|"C01EB21"
"11"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/5/"|"Eliquis"|"22"|"Apixaban"|"2012-06-07"|"Die zweckmäßige Vergleichstherapie zur peri- und postoperativen Primärprophylaxe tiefer Venenthrombosen nach elektiven Kniegelenksersatzoperationen sind diejenigen niedermolekularen Heparine, die für diese Indikation zugelassenen sind (z.B. Enoxaparin). Die Wirkstoffe sollen in den für den Schweregrad zugelassenen Dosierungen gegeben und patientenindividuell optimiert werden."|"ist nicht belegt"|NA|"B01AF02"
"11"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/5/"|"Eliquis"|"23"|"Apixaban"|"2012-06-07"|"Die zweckmäßige Vergleichstherapie zur peri- und postoperativen Primärprophylaxe tiefer Venenthrombosen nach elektiven Hüftgelenksersatzoperationen sind diejenigen niedermolekularen Heparine, die für diese Indikation zugelassenen sind (z.B. Enoxaparin). Die Wirkstoffe sollen in den für den Schweregrad zugelassenen Dosierungen gegeben und patientenindividuell optimiert werden."|"gering"|"Hinweis"|"B01AF02"
"14"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/7/"|"Benlysta"|"27"|"Belimumab"|"2012-08-02"|"optimierte Standardtherapie (Chloroquin/Hydroxychloroquin, nichtsteroidale Antirheumatika (NSAIDs), Glukokortikoide, Azathioprin, ggf. Cyclophosphamid) unter Berücksichtigung der zugelassenen Dosierungen und des jeweiligen Zulassungsstatus der Wirkstoffe."|"beträchtlich"|"Hinweis"|"L04AG04"
"15"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/14/"|"Fampyra"|"28"|"Fampridin"|"2012-08-02"|"Die zweckmäßige Vergleichstherapie zur Verbesserung der Gehfähigkeit von erwachsenen Patienten mit Multipler Sklerose (MS) ist Krankengymnastik entsprechend der Heilmittelrichtlinie unter der Voraussetzung einer optimierten MS-Standardtherapie (einschließlich einer symptomatischen Therapie mit gegebenenfalls Spasmolytika)."|"gilt als nicht belegt"|NA|"N07XX07"
"16"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/16/"|"Yervoy"|"29"|"Ipilimumab"|"2012-08-02"|"Best-Supportive-Care"|"beträchtlich"|"Hinweis"|"L01FX04"
"18"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/9/"|"Yellox"|"30"|"Bromfenac"|"2012-01-19"|"Dexamethason Augentropfen"|"gilt als nicht belegt"|NA|"S01BC11"
"20"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/17/"|"Esbriet"|"33"|"Pirfenidon"|"2012-03-15"|NA|"nicht quantifizierbar"|NA|"L04AX05"
