"ZULASSUNGSNUMMER","PRAEPARATENAME","ARZNEIFORM","ATC_CODE","HEILMITTEL_CODE","ZULASSUNGSSTATUS","ZULASSUNGSKATEGORIE","ERSTZULASSUNGSDATUM","BASIS_ZULASSUNGSNUMMER","ABGABEKATEGORIE","IT_NUMMER","ANWENDUNGSGEBIET","ABLAUFDATUM","CHARGENFREIGABE_PFLICHT","EINZELEINFUHR_BEWILLIG_PFLICHT","Praep_Name","anz","ZULASSUNGSINHABERIN"
53869,"Movicol, Pulver zur Herstellung einer Lösung zum Einnehmen","PULO","A06AD65","S","Z","",1998-03-30,"","B","04.08.11","Obstipation, Koprostase",9999-12-31,"","","movicol",NA,"Norgine AG"
57900,"Moviprep, Pulver","PULO","A06AD65","S","Z","",2008-04-08,"","B","04.08.11","Zur vollständigen Darmreinigung vor diagnostischen Untersuchungen",9999-12-31,"","","moviprep",NA,"Norgine AG"
58420,"Movicol neutral, Pulver zur Herstellung einer Lösung zum Einnehmen","PULO","A06AD65","S","Z","",2007-10-23,"","B","04.08.11","Obstipation, Koprostase",9999-12-31,"","","movicol neutral",NA,"Norgine AG"
58421,"Movicol Junior neutral, Pulver zur Herstellung einer Lösung zum Einnemen","PULO","A06AD65","S","Z","",2007-10-23,"","B","04.08.11","Obstipation, Koprostase",9999-12-31,"","","movicol junior neutral",NA,"Norgine AG"
59056,"Movicol Chocolat, Pulver zur Herstellung einer Lösung zum Einnehmen","PULO","A06AD65","S","Z","",2009-02-05,"","B","04.08.11","Obstipation, Koprostase",9999-12-31,"","","movicol chocolat",NA,"Norgine AG"
61631,"Moviprep Orange, Pulver","PULO","A06AD65","S","Z","",2011-09-14,"","B","04.08.11","Zur vollständigen Darmreinigung vor diagnostischen Untersuchungen",9999-12-31,"","","moviprep orange",NA,"Norgine AG"
62165,"Movicol Liquid Orange, Konzentrat zur Herstellung einer Lösung zum Einnehmen","KOLO","A06AD65","S","Z","",2012-01-17,"","B","04.08.11","Symptomatische Behandlung der Obstipation bei Erwachsenen",9999-12-31,"","","movicol liquid orange",NA,"Norgine AG"
66002,"Movicol Trinkfertig, Lösung zum Einnehmen","LSOR","A06AD65","S","Z","",2016-10-06,"","B","04.08.11","Obstipation, Koprostase",9999-12-31,"","","movicol trinkfertig",NA,"Norgine AG"
66751,"Plenvu, Pulver","PULO","A06AD65","S","Z","",2018-10-12,"","B","04.08.1.","Zur vollständigen Darmreinigung vor diagnostischen Untersuchungen",9999-12-31,"","","plenvu",NA,"Norgine AG"
10989,"Benerva, soluzione iniettabile","LSPA","A11DA01","S","Z","",1954-07-14,"","B","07.02.3.","Vitamin-B1-Präparat",9999-12-31,"","","benerva",2,"FARMACEUTICA TEOFARMA SUISSE SA"
23774,"Paracodin, gocce","TROL","N02AA08","S","Z","",1957-11-25,"","B","03.01.1.","",9999-12-31,"","","paracodin",NA,"FARMACEUTICA TEOFARMA SUISSE SA"
25635,"Benadon 300 mg, compresse rivestite","FILM","A11HA02","S","Z","",1959-07-03,"","D","07.02.3.","Vitamin B6-Präparat",9999-12-31,"","","benadon 300 mg",NA,"FARMACEUTICA TEOFARMA SUISSE SA"
25636,"Benerva, compresse","TAB","A11DA01","S","Z","",1959-07-03,"","D","07.02.3.","Vitamin-B1-Präparat",9999-12-31,"","","benerva",2,"FARMACEUTICA TEOFARMA SUISSE SA"
29729,"Synalar-N, crème","CREM","D07CC02","S","Z","",1963-06-24,"","B","10.05.2.","",9999-12-31,"","","synalar-n",2,"FARMACEUTICA TEOFARMA SUISSE SA"
29730,"Synalar-N, pommade","SALB","D07CC02","S","Z","",1963-06-24,"","B","10.05.2.","",9999-12-31,"","","synalar-n",2,"FARMACEUTICA TEOFARMA SUISSE SA"
45217,"Dantrolen i.v., Injektionslösung","PULP","M03CA01","S","Z","",1984-05-28,"","B","01.12.0.","Myotonolyticum: Maligne Hyperthermie",9999-12-31,"","","dantrolen i.v.",NA,"Norgine AG"
65765,"Soro Anticrotalico","LSPA","J06AA03","BL","BA","",NA,"","A","15.01.0.","Antivenin",2016-12-31,"","","soro anticrotalico",NA,"Armeeapotheke"
65766,"Taipan Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","taipan antivenom",NA,"Armeeapotheke"
65767,"Tiger Snake, Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","tiger snake",NA,"Armeeapotheke"
67220,"Atropinsulfat 50 mg/100 mL AApot, Injektionslösung","LSINJ","A03BA01","S","Z","",2019-02-14,"","A","15.01.0.","Parasympatholytikum, Antidot zur symptomatischen Therapie bei Acetylcholinesterasehemmer-Vergiftungen",9999-12-31,"","","atropinsulfat 50 mg/100 ml aapot",NA,"Armeeapotheke"
58344,"Ciclopoli smalto medicato per unghie","NAGL","D01AE14","S","Z","",2009-07-08,"","B","10.09.4.","Pilzerkrankungen",9999-12-31,"","","ciclopoli smalto medicato per unghie",NA,"Polichem SA, Lussemburgo, succursale di"
51383,"Carmol Hustentee, Instant-Tee Granulat","TEEA","R05CA10","P","Z","",1999-12-13,"","D","03.02.0.","Bei Erkältungshusten",9999-12-31,"","","carmol hustentee",NA,"Dr. med. Aufdermaur AG"
54622,"Femicin Nieren-Blasentee, Teeaufgusspulver","TEEA","G04BX","P","Z","",1999-11-26,"","D","05.02.0.","Bei Reizungen der Harnwege",9999-12-31,"","","femicin nieren-blasentee",NA,"Dr. med. Aufdermaur AG"
56407,"Sauerstoff medizinal Messer, Gas zur medizinischen Anwendung, druckverdichtet","GASDR","V03AN01","S","Z","",2010-01-15,"","E","03.99.0.","Sauerstofftherapie",9999-12-31,"","","sauerstoff medizinal messer",3,"Messer Schweiz AG"
56408,"Sauerstoff medizinal Messer, Gas zur medizinischen Anwendung, kälteverflüssigt in mobilen Behältern","GASKR","V03AN01","S","Z","",2010-01-15,"","E","03.99.0.","Sauerstofftherapie",9999-12-31,"","","sauerstoff medizinal messer",3,"Messer Schweiz AG"
56412,"Atemluft medizinal Messer, Gas zur medizinischen Anwendung, druckverdichtet","GASDR","V03AN05","S","Z","",2010-04-20,"","E","03.99.0.","Inhalationsgas zur medizinischen Anwendung",9999-12-31,"","","atemluft medizinal messer",NA,"Messer Schweiz AG"
59118,"Sauerstoff medizinal Messer, Gas zur medizinischen Anwendung, kälteverflüssigt in stationären Behältern","GASKR","V03AN01","S","Z","",2010-01-15,"","E","03.99.0.","Sauerstofftherapie",9999-12-31,"","","sauerstoff medizinal messer",3,"Messer Schweiz AG"
61645,"Stickoxydul medizinal MESSER, Gas zur medizinischen Anwendung, verflüssigt","GASFL","N01AX13","S","Z","",2011-07-22,"","B","01.02.1.","Anästhetikum / Analgetikum / Sedativum",9999-12-31,"","","stickoxydul medizinal messer",NA,"Messer Schweiz AG"
65530,"Stickstoffmonoxid Messer, Gas zur medizinischen Anwendung, druckverdichtet","GASDR","R07AX01","S","Z","",2015-06-05,"","A","03.99.0.","Künstliche Beatmung bei Neugeborenen",9999-12-31,"","","stickstoffmonoxid messer",NA,"Messer Schweiz AG"
58808,"Teicoplanin-Evultis, Polvere e solvente per soluzione iniettabile / per infusione / soluzione orale","PULP","J01XA02","S","Z","",2009-04-03,"","A","08.01.9.","Infektionskrankheiten",9999-12-31,"","","teicoplanin-evultis",NA,"Evultis SA"
45215,"Dantamacrin, Kapseln","KAHA","M03CA01","S","Z","",1983-12-29,"","B","01.12.0.","Myotonolyticum",9999-12-31,"","","dantamacrin",NA,"Norgine AG"
