"hersteller"|"generika"|"bag_dossier"|"swissmedic_nr"|"swissmedic_liste"|"einf_datum"|"bezeichnung"|"exf_preis"|"pub_preis"|"limitation"|"lim_pkte"|"therap_gruppe"|"substanzen"|"rec_id"|"x40_percent_selbstbehalt"|"gtin"|"atc"|"gammennummer"|"gammenbezeichnung"|"ggsl"|"preismodell"|"indikationscode"|"swissmedic_no8_parallel_imp"|"ref_biosim_code"|"letzte_preis_anderung"|"zulassungsnummer"
"ViiV Healthcare GmbH"|"O"|"16577"|"53662013"|"A"|1996-03-15|"3TC, Filmtabl 150 mg, 60 Stk"|"164.55"|"193.95"|NA|NA|"08.03."|"Lamivudinum"|"12442"|"N"|"7680536620137"|"J05AF05"|"1"|"3TC Oral"|"N"|NA|NA|NA|NA|2011-10-01|"53662"
"ViiV Healthcare GmbH"|"O"|"16577"|"53662021"|"A"|2004-11-01|"3TC, Filmtabl 300 mg, 30 Stk"|"164.55"|"193.95"|NA|NA|"08.03."|"Lamivudinum"|"14569"|"N"|"7680536620212"|"J05AF05"|"1"|"3TC Oral"|"N"|NA|NA|NA|NA|2011-10-01|"53662"
"ViiV Healthcare GmbH"|NA|"16578"|"53663036"|"A"|1996-03-15|"3TC, Trink Lös 10 mg/ml o Alkohol, 240 ml"|"50.73"|"71.6"|NA|NA|"08.03."|"Lamivudinum"|"12443"|"N"|"7680536630365"|"J05AF05"|"2"|"3TC OralFluessig"|"N"|NA|NA|NA|NA|2011-10-01|"53663"
"Sandoz Pharmaceuticals AG"|"G"|"20759"|"66687001"|"A"|2020-09-01|"Abacavir Lamivudin Sandoz, Filmtabl 600/300mg, Blist 30 Stk"|"248.42"|"286.6"|NA|NA|"08.03."|"Abacavirum, Lamivudinum"|"38532"|"N"|"7680666870013"|"J05AR02"|"3870"|"Abacavir Lamivudin Sandoz Oral"|"N"|NA|NA|NA|NA|2022-12-01|"66687"
"Mepha Pharma AG"|"G"|"20836"|"67064001"|"A"|2020-11-01|"Abacavir-Lamivudin-Mepha, Lactab 600/300mg, Blist 30 Stk"|"248.42"|"286.6"|NA|NA|"08.03."|"Abacavirum, Lamivudinum"|"41344"|"N"|"7680670640015"|"J05AR02"|"4192"|"Abacavir-Lamivudin-Mepha Oral"|"N"|NA|NA|NA|NA|2022-12-01|"67064"
"Eli Lilly (Suisse) SA"|NA|"20346"|"65069002"|"B"|2015-09-01|"Abasaglar, Inj Lös 100 E/ml KwikPen, 5 Fertspr 3 ml"|"44.37"|"64.65"|NA|NA|"07.06.10."|"Insulinum glarginum"|"37633"|"N"|"7680650690023"|"A10AE04"|"3535"|"Abasaglar Parenteral"|"N"|NA|NA|NA|"BioS"|2023-12-01|"65069"
"Otsuka Pharmaceutical (Switzerland) GmbH"|"O"|"17965"|"56209002"|"B"|2005-12-01|"Abilify, Tabl 5 mg, 28 Stk"|"46.93"|"67"|NA|NA|"01.05."|"Aripiprazolum"|"15384"|"N"|"7680562090027"|"N05AX12"|"4"|"Abilify Oral"|"N"|NA|NA|NA|NA|2024-05-01|"56209"
"Otsuka Pharmaceutical (Switzerland) GmbH"|"O"|"17965"|"56209004"|"B"|2004-08-01|"Abilify, Tabl 10 mg, 28 Stk"|"51.1"|"71.55"|NA|NA|"01.05."|"Aripiprazolum"|"14125"|"N"|"7680562090041"|"N05AX12"|"4"|"Abilify Oral"|"N"|NA|NA|NA|NA|2024-05-01|"56209"
"Otsuka Pharmaceutical (Switzerland) GmbH"|"O"|"17965"|"56209016"|"B"|2004-07-01|"Abilify, Tabl 15 mg, 28 Stk"|"56.8"|"77.7"|NA|NA|"01.05."|"Aripiprazolum"|"14127"|"N"|"7680562090164"|"N05AX12"|"4"|"Abilify Oral"|"N"|NA|NA|NA|NA|2024-05-01|"56209"
"Otsuka Pharmaceutical (Switzerland) GmbH"|"O"|"17965"|"56209024"|"B"|2004-12-01|"Abilify, Tabl 30 mg, 28 Stk"|"102.24"|"126.65"|NA|NA|"01.05."|"Aripiprazolum"|"14576"|"N"|"7680562090249"|"N05AX12"|"4"|"Abilify Oral"|"N"|NA|NA|NA|NA|2024-05-01|"56209"
