atc_name|atc_code|level
ALIMENTARY TRACT AND METABOLISM|A|1
STOMATOLOGICAL PREPARATIONS|A01|3
STOMATOLOGICAL PREPARATIONS|A01A|4
Caries prophylactic agents|A01AA|5
sodium fluoride|A01AA01|7
sodium monofluorophosphate|A01AA02|7
olaflur|A01AA03|7
stannous fluoride|A01AA04|7
combinations|A01AA30|7
sodium fluoride, combinations|A01AA51|7
Antiinfectives and antiseptics for local oral treatment|A01AB|5
hydrogen peroxide|A01AB02|7
chlorhexidine|A01AB03|7
amphotericin B|A01AB04|7
polynoxylin|A01AB05|7
domiphen|A01AB06|7
oxyquinoline|A01AB07|7
neomycin|A01AB08|7
miconazole|A01AB09|7
natamycin|A01AB10|7
various|A01AB11|7
hexetidine|A01AB12|7
tetracycline|A01AB13|7
benzoxonium chloride|A01AB14|7
tibezonium iodide|A01AB15|7
mepartricin|A01AB16|7
metronidazole|A01AB17|7
clotrimazole|A01AB18|7
sodium perborate|A01AB19|7
chlortetracycline|A01AB21|7
doxycycline|A01AB22|7
minocycline|A01AB23|7
octenidine|A01AB24|7
oxytetracycline|A01AB25|7
chlorhexidine and cetylpyridinium|A01AB53|7
Corticosteroids for local oral treatment|A01AC|5
triamcinolone|A01AC01|7
dexamethasone|A01AC02|7
hydrocortisone|A01AC03|7
prednisolone|A01AC04|7
prednisolone, combinations|A01AC54|7
Other agents for local oral treatment|A01AD|5
epinephrine|A01AD01|7
benzydamine|A01AD02|7
acetylsalicylic acid|A01AD05|7
adrenalone|A01AD06|7
amlexanox|A01AD07|7
becaplermin|A01AD08|7
various|A01AD11|7
DRUGS FOR ACID RELATED DISORDERS|A02|3
ANTACIDS|A02A|4
Magnesium compounds|A02AA|5
magnesium carbonate|A02AA01|7
magnesium oxide|A02AA02|7
magnesium peroxide|A02AA03|7
magnesium hydroxide|A02AA04|7
magnesium silicate|A02AA05|7
combinations|A02AA10|7
Aluminium compounds|A02AB|5
aluminium hydroxide|A02AB01|7
algeldrate|A02AB02|7
aluminium phosphate|A02AB03|7
dihydroxialumini sodium carbonate|A02AB04|7
aluminium acetoacetate|A02AB05|7
aloglutamol|A02AB06|7
aluminium glycinate|A02AB07|7
combinations|A02AB10|7
Calcium compounds|A02AC|5
calcium carbonate|A02AC01|7
calcium silicate|A02AC02|7
combinations|A02AC10|7
Combinations and complexes of aluminium, calcium and magnesium compounds|A02AD|5
ordinary salt combinations|A02AD01|7
magaldrate|A02AD02|7
almagate|A02AD03|7
hydrotalcite|A02AD04|7
almasilate|A02AD05|7
Antacids with antiflatulents|A02AF|5
magaldrate and antiflatulents|A02AF01|7
ordinary salt combinations and antiflatulents|A02AF02|7
Antacids with antispasmodics|A02AG|5
Antacids with sodium bicarbonate|A02AH|5
Antacids, other combinations|A02AX|5
DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)|A02B|4
H2-receptor antagonists|A02BA|5
cimetidine|A02BA01|7
ranitidine|A02BA02|7
famotidine|A02BA03|7
nizatidine|A02BA04|7
niperotidine|A02BA05|7
roxatidine|A02BA06|7
ranitidine bismuth citrate|A02BA07|7
lafutidine|A02BA08|7
cimetidine, combinations|A02BA51|7
famotidine, combinations|A02BA53|7
Prostaglandins|A02BB|5
misoprostol|A02BB01|7
enprostil|A02BB02|7
Proton pump inhibitors|A02BC|5
omeprazole|A02BC01|7
pantoprazole|A02BC02|7
lansoprazole|A02BC03|7
rabeprazole|A02BC04|7
esomeprazole|A02BC05|7
dexlansoprazole|A02BC06|7
dexrabeprazole|A02BC07|7
vonoprazan|A02BC08|7
tegoprazan|A02BC09|7
fexuprazan|A02BC10|7
ilaprazole|A02BC11|7
omeprazole, combinations|A02BC51|7
lansoprazole, combinations|A02BC53|7
rabeprazole, combinations|A02BC54|7
Combinations for eradication of Helicobacter pylori|A02BD|5
omeprazole, amoxicillin and metronidazole|A02BD01|7
lansoprazole, tetracycline and metronidazole|A02BD02|7
lansoprazole, amoxicillin and metronidazole|A02BD03|7
pantoprazole, amoxicillin and clarithromycin|A02BD04|7
omeprazole, amoxicillin and clarithromycin|A02BD05|7
esomeprazole, amoxicillin and clarithromycin|A02BD06|7
lansoprazole, amoxicillin and clarithromycin|A02BD07|7
bismuth subcitrate, tetracycline and metronidazole|A02BD08|7
lansoprazole, clarithromycin and tinidazole|A02BD09|7
lansoprazole, amoxicillin and levofloxacin|A02BD10|7
pantoprazole, amoxicillin, clarithromycin and metronidazole|A02BD11|7
rabeprazole, amoxicillin and clarithromycin|A02BD12|7
rabeprazole, amoxicillin and metronidazole|A02BD13|7
vonoprazan, amoxicillin and clarithromycin|A02BD14|7
vonoprazan, amoxicillin and metronidazole|A02BD15|7
omeprazole, amoxicillin and rifabutin|A02BD16|7
vonoprazan and amoxicillin|A02BD17|7
Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)|A02BX|5
carbenoxolone|A02BX01|7
sucralfate|A02BX02|7
pirenzepine|A02BX03|7
methiosulfonium chloride|A02BX04|7
bismuth subcitrate|A02BX05|7
proglumide|A02BX06|7
gefarnate|A02BX07|7
sulglicotide|A02BX08|7
acetoxolone|A02BX09|7
zolimidine|A02BX10|7
troxipide|A02BX11|7
bismuth subnitrate|A02BX12|7
alginic acid|A02BX13|7
rebamipide|A02BX14|7
teprenone|A02BX15|7
irsogladine|A02BX16|7
carbenoxolone, combinations excl. psycholeptics|A02BX51|7
carbenoxolone, combinations with psycholeptics|A02BX71|7
gefarnate, combinations with psycholeptics|A02BX77|7
OTHER DRUGS FOR ACID RELATED DISORDERS|A02X|4
DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS|A03|3
DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS|A03A|4
Synthetic anticholinergics, esters with tertiary amino group|A03AA|5
oxyphencyclimine|A03AA01|7
camylofin|A03AA03|7
mebeverine|A03AA04|7
trimebutine|A03AA05|7
rociverine|A03AA06|7
dicycloverine|A03AA07|7
dihexyverine|A03AA08|7
difemerine|A03AA09|7
piperidolate|A03AA30|7
Synthetic anticholinergics, quaternary ammonium compounds|A03AB|5
benzilone|A03AB01|7
glycopyrronium bromide|A03AB02|7
oxyphenonium|A03AB03|7
penthienate|A03AB04|7
propantheline|A03AB05|7
otilonium bromide|A03AB06|7
methantheline|A03AB07|7
tridihexethyl|A03AB08|7
isopropamide|A03AB09|7
hexocyclium|A03AB10|7
poldine|A03AB11|7
mepenzolate|A03AB12|7
bevonium|A03AB13|7
pipenzolate|A03AB14|7
diphemanil|A03AB15|7
(2-benzhydryloxyethyl)diethyl-methylammonium iodide|A03AB16|7
tiemonium iodide|A03AB17|7
prifinium bromide|A03AB18|7
timepidium bromide|A03AB19|7
fenpiverinium|A03AB21|7
oxyphenonium, combinations|A03AB53|7
Synthetic antispasmodics, amides with tertiary amines|A03AC|5
dimethylaminopropionylphenothiazine|A03AC02|7
nicofetamide|A03AC04|7
tiropramide|A03AC05|7
Papaverine and derivatives|A03AD|5
papaverine|A03AD01|7
drotaverine|A03AD02|7
moxaverine|A03AD30|7
Serotonin receptor antagonists|A03AE|5
alosetron|A03AE01|7
cilansetron|A03AE03|7
Other drugs for functional gastrointestinal disorders|A03AX|5
fenpiprane|A03AX01|7
diisopromine|A03AX02|7
chlorbenzoxamine|A03AX03|7
pinaverium|A03AX04|7
fenoverine|A03AX05|7
idanpramine|A03AX06|7
proxazole|A03AX07|7
alverine|A03AX08|7
trepibutone|A03AX09|7
isometheptene|A03AX10|7
caroverine|A03AX11|7
phloroglucinol|A03AX12|7
silicones|A03AX13|7
valethamate|A03AX14|7
menthae piperitae aetheroleum|A03AX15|7
trimethyldiphenylpropylamine|A03AX30|7
alverine, combinations|A03AX58|7
BELLADONNA AND DERIVATIVES, PLAIN|A03B|4
Belladonna alkaloids, tertiary amines|A03BA|5
atropine|A03BA01|7
hyoscyamine|A03BA03|7
belladonna total alkaloids|A03BA04|7
Belladonna alkaloids, semisynthetic, quaternary ammonium compounds|A03BB|5
butylscopolamine|A03BB01|7
methylatropine|A03BB02|7
methylscopolamine|A03BB03|7
fentonium|A03BB04|7
cimetropium bromide|A03BB05|7
homatropine methylbromide|A03BB06|7
ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS|A03C|4
Synthetic anticholinergic agents in combination with psycholeptics|A03CA|5
isopropamide and psycholeptics|A03CA01|7
clidinium and psycholeptics|A03CA02|7
oxyphencyclimine and psycholeptics|A03CA03|7
otilonium bromide and psycholeptics|A03CA04|7
glycopyrronium bromide and psycholeptics|A03CA05|7
bevonium and psycholeptics|A03CA06|7
ambutonium and psycholeptics|A03CA07|7
diphemanil and psycholeptics|A03CA08|7
pipenzolate and psycholeptics|A03CA09|7
emepronium and psycholeptics|A03CA30|7
propantheline and psycholeptics|A03CA34|7
Belladonna and derivatives in combination with psycholeptics|A03CB|5
methylscopolamine and psycholeptics|A03CB01|7
belladonna total alkaloids and psycholeptics|A03CB02|7
atropine and psycholeptics|A03CB03|7
homatropine methylbromide and psycholeptics|A03CB04|7
hyoscyamine and psycholeptics|A03CB31|7
Other antispasmodics in combination with psycholeptics|A03CC|5
ANTISPASMODICS IN COMBINATION WITH ANALGESICS|A03D|4
Synthetic anticholinergic agents in combination with analgesics|A03DA|5
tropenzilone and analgesics|A03DA01|7
pitofenone and analgesics|A03DA02|7
bevonium and analgesics|A03DA03|7
ciclonium and analgesics|A03DA04|7
camylofin and analgesics|A03DA05|7
trospium and analgesics|A03DA06|7
tiemonium iodide and analgesics|A03DA07|7
Belladonna and derivatives in combination with analgesics|A03DB|5
butylscopolamine and analgesics|A03DB04|7
Other antispasmodics in combination with analgesics|A03DC|5
ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS|A03E|4
Antispasmodics, psycholeptics and analgesics in combination|A03EA|5
Antispasmodics in combination with other drugs|A03ED|5
PROPULSIVES|A03F|4
Propulsives|A03FA|5
metoclopramide|A03FA01|7
cisapride|A03FA02|7
domperidone|A03FA03|7
bromopride|A03FA04|7
alizapride|A03FA05|7
clebopride|A03FA06|7
itopride|A03FA07|7
cinitapride|A03FA08|7
mosapride|A03FA09|7
acotiamide|A03FA10|7
ANTIEMETICS AND ANTINAUSEANTS|A04|3
ANTIEMETICS AND ANTINAUSEANTS|A04A|4
Serotonin (5HT3) antagonists|A04AA|5
ondansetron|A04AA01|7
granisetron|A04AA02|7
tropisetron|A04AA03|7
dolasetron|A04AA04|7
palonosetron|A04AA05|7
palonosetron, combinations|A04AA55|7
Other antiemetics|A04AD|5
scopolamine|A04AD01|7
cerium oxalate|A04AD02|7
chlorobutanol|A04AD04|7
metopimazine|A04AD05|7
dronabinol|A04AD10|7
nabilone|A04AD11|7
aprepitant|A04AD12|7
casopitant|A04AD13|7
rolapitant|A04AD14|7
scopolamine, combinations|A04AD51|7
chlorobutanol, combinations|A04AD54|7
BILE AND LIVER THERAPY|A05|3
BILE THERAPY|A05A|4
Bile acids and derivatives|A05AA|5
chenodeoxycholic acid|A05AA01|7
ursodeoxycholic acid|A05AA02|7
cholic acid|A05AA03|7
obeticholic acid|A05AA04|7
ursodoxicoltaurine|A05AA05|7
Preparations for biliary tract therapy|A05AB|5
nicotinyl methylamide|A05AB01|7
Other drugs for bile therapy|A05AX|5
piprozolin|A05AX01|7
hymecromone|A05AX02|7
cyclobutyrol|A05AX03|7
maralixibat chloride|A05AX04|7
odevixibat|A05AX05|7
elafibranor|A05AX06|7
seladelpar|A05AX07|7
LIVER THERAPY, LIPOTROPICS|A05B|4
Liver therapy|A05BA|5
arginine glutamate|A05BA01|7
silymarin|A05BA03|7
citiolone|A05BA04|7
epomediol|A05BA05|7
ornithine oxoglurate|A05BA06|7
tidiacic arginine|A05BA07|7
glycyrrhizic acid|A05BA08|7
metadoxine|A05BA09|7
phospholipids|A05BA10|7
DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION|A05C|4
DRUGS FOR CONSTIPATION|A06|3
DRUGS FOR CONSTIPATION|A06A|4
Softeners, emollients|A06AA|5
liquid paraffin|A06AA01|7
docusate sodium|A06AA02|7
liquid paraffin, combinations|A06AA51|7
Contact laxatives|A06AB|5
oxyphenisatine|A06AB01|7
bisacodyl|A06AB02|7
dantron|A06AB03|7
phenolphthalein|A06AB04|7
castor oil|A06AB05|7
senna glycosides|A06AB06|7
cascara|A06AB07|7
sodium picosulfate|A06AB08|7
bisoxatin|A06AB09|7
contact laxatives in combination|A06AB20|7
contact laxatives in combination with belladonna alkaloids|A06AB30|7
bisacodyl, combinations|A06AB52|7
dantron, combinations|A06AB53|7
senna glycosides, combinations|A06AB56|7
cascara, combinations|A06AB57|7
sodium picosulfate, combinations|A06AB58|7
Bulk-forming laxatives|A06AC|5
ispaghula (psylla seeds)|A06AC01|7
ethulose|A06AC02|7
sterculia|A06AC03|7
linseed|A06AC05|7
methylcellulose|A06AC06|7
triticum (wheat fibre)|A06AC07|7
polycarbophil calcium|A06AC08|7
ispaghula, combinations|A06AC51|7
sterculia, combinations|A06AC53|7
linseed, combinations|A06AC55|7
Osmotically acting laxatives|A06AD|5
magnesium carbonate|A06AD01|7
magnesium oxide|A06AD02|7
magnesium peroxide|A06AD03|7
magnesium sulfate|A06AD04|7
mineral salts in combination|A06AD10|7
lactulose|A06AD11|7
lactitol|A06AD12|7
sodium sulfate|A06AD13|7
pentaerithrityl|A06AD14|7
macrogol|A06AD15|7
mannitol|A06AD16|7
sodium phosphate|A06AD17|7
sorbitol|A06AD18|7
magnesium citrate|A06AD19|7
sodium tartrate|A06AD21|7
lactulose, combinations|A06AD61|7
macrogol, combinations|A06AD65|7
Enemas|A06AG|5
sodium phosphate|A06AG01|7
bisacodyl|A06AG02|7
dantron, incl. combinations|A06AG03|7
glycerol|A06AG04|7
oil|A06AG06|7
sorbitol|A06AG07|7
docusate sodium, incl. combinations|A06AG10|7
sodium lauryl sulfoacetate, incl. combinations|A06AG11|7
combinations|A06AG20|7
Peripheral opioid receptor antagonists|A06AH|5
methylnaltrexone bromide|A06AH01|7
alvimopan|A06AH02|7
naloxegol|A06AH03|7
naloxone|A06AH04|7
naldemedine|A06AH05|7
Other drugs for constipation|A06AX|5
glycerol|A06AX01|7
carbon dioxide producing drugs|A06AX02|7
lubiprostone|A06AX03|7
linaclotide|A06AX04|7
prucalopride|A06AX05|7
tegaserod|A06AX06|7
plecanatide|A06AX07|7
tenapanor|A06AX08|7
elobixibat|A06AX09|7
ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS|A07|3
INTESTINAL ANTIINFECTIVES|A07A|4
Antibiotics|A07AA|5
neomycin|A07AA01|7
nystatin|A07AA02|7
natamycin|A07AA03|7
streptomycin|A07AA04|7
polymyxin B|A07AA05|7
paromomycin|A07AA06|7
amphotericin B|A07AA07|7
kanamycin|A07AA08|7
vancomycin|A07AA09|7
colistin|A07AA10|7
rifaximin|A07AA11|7
fidaxomicin|A07AA12|7
rifamycin|A07AA13|7
neomycin, combinations|A07AA51|7
streptomycin, combinations|A07AA54|7
Sulfonamides|A07AB|5
phthalylsulfathiazole|A07AB02|7
sulfaguanidine|A07AB03|7
succinylsulfathiazole|A07AB04|7
Imidazole derivatives|A07AC|5
miconazole|A07AC01|7
Other intestinal antiinfectives|A07AX|5
broxyquinoline|A07AX01|7
acetarsol|A07AX02|7
nifuroxazide|A07AX03|7
nifurzide|A07AX04|7
INTESTINAL ADSORBENTS|A07B|4
Charcoal preparations|A07BA|5
medicinal charcoal|A07BA01|7
medicinal charcoal, combinations|A07BA51|7
Bismuth preparations|A07BB|5
Other intestinal adsorbents|A07BC|5
pectin|A07BC01|7
kaolin|A07BC02|7
crospovidone|A07BC03|7
attapulgite|A07BC04|7
diosmectite|A07BC05|7
combinations|A07BC30|7
