"ze_nr"|"ze_code"|"version"|"code"|"dose_unit"|"va"|"za"|"ze_id"
6|"ZE-2025-06"|"V14.3"|"J06BB09"|"U"|"IV"|NA|"ZE-06"
7|"ZE-2025-07"|"V14.3"|"L01BA04"|"mg"|"IV"|NA|"ZE-07"
10|"ZE-2025-10"|"V14.3"|"L01FE01"|"mg"|"IV"|NA|"ZE-10"
11|"ZE-2025-11"|"V14.3"|"L01FG01"|"mg"|"IV"|NA|"ZE-11"
14|"ZE-2025-14"|"V14.3"|"J02AA01"|"mg"|"IV"|NA|"ZE-14"
15|"ZE-2025-15"|"V14.3"|"J02AC03"|"mg"|"O"|NA|"ZE-15"
16|"ZE-2025-16"|"V14.3"|"J02AC03"|"mg"|"IV"|NA|"ZE-16"
18|"ZE-2025-18"|"V14.3"|"J02AX06"|"mg"|"IV"|NA|"ZE-18"
19|"ZE-2025-19"|"V14.3"|"L04AB02"|"mg"|"IV,SC"|NA|"ZE-19"
28|"ZE-2025-28"|"V14.3"|"J06BB04"|"U"|"IV,SC,IM"|NA|"ZE-28"
30|"ZE-2025-30"|"V14.3"|"B02BB01"|"g"|"IV"|NA|"ZE-30"
31|"ZE-2025-31"|"V14.3"|"B02BD01"|"U"|"IV"|NA|"ZE-31"
32|"ZE-2025-32"|"V14.3"|"B02BD02"|"U"|"IV"|"Plas"|"ZE-32"
33|"ZE-2025-33"|"V14.3"|"B02BD02"|"U"|"IV"|"Rec"|"ZE-33"
34|"ZE-2025-34"|"V14.3"|"B02BD03"|"U"|"IV"|NA|"ZE-34"
35|"ZE-2025-35"|"V14.3"|"B02BD04"|"U"|"IV"|"CBB"|"ZE-35"
36|"ZE-2025-36"|"V14.3"|"B02BD05"|"U"|"IV"|NA|"ZE-36"
37|"ZE-2025-37"|"V14.3"|"B02BD06"|"U"|"IV"|NA|"ZE-37"
39|"ZE-2025-39"|"V14.3"|"B02BD08"|"mg"|"IV"|NA|"ZE-39"
41|"ZE-2025-41"|"V14.3"|"L01BB06"|"mg"|"IV"|NA|"ZE-41"
42|"ZE-2025-42"|"V14.3"|"L01BB07"|"mg"|"IV"|NA|"ZE-42"
44|"ZE-2025-44"|"V14.3"|"L04AB04"|"mg"|"SC,IV"|NA|"ZE-44"
